,1,2,3,4,5,6,7,A,C,E,B,D,F,M,G,J,Z,L,N,Q,R,W,S
1,0,7,6,0,0,0,1,3,3,1,1,1,1,1,0,0,0,0,2,2,1,2,1
2,7,0,13,6,13,0,1,4,4,2,1,2,1,1,0,1,1,1,4,2,4,2,2
3,6,13,0,6,5,0,1,3,3,2,1,1,1,1,0,1,1,1,3,2,3,2,2
4,0,6,6,0,14,8,1,1,1,1,2,3,2,0,0,3,2,1,5,4,5,2,2
5,0,13,5,14,0,6,1,1,1,0,1,1,1,0,0,2,2,1,3,3,4,2,1
6,0,0,0,8,6,0,1,0,0,1,1,1,2,2,0,2,2,1,3,3,3,3,1
7,1,1,1,1,1,1,0,1,1,3,1,1,2,3,1,0,0,0,2,2,2,2,2
A,3,4,3,1,1,0,1,0,19,7,4,4,2,1,1,2,2,2,3,1,3,2,3
C,3,4,3,1,1,0,1,19,0,6,4,4,2,1,1,2,2,2,2,1,3,2,2
E,1,2,2,1,0,1,3,7,6,0,2,2,5,7,1,2,2,1,2,1,2,2,1
B,1,1,1,2,1,1,1,4,4,2,0,15,5,5,0,0,0,0,2,10,3,1,1
D,1,2,1,3,1,1,1,4,4,2,15,0,7,5,1,0,0,0,7,4,8,1,0
F,1,1,1,2,1,2,2,2,2,5,5,7,0,9,8,1,1,1,4,4,6,2,0
M,1,1,1,0,0,2,3,1,1,7,5,5,9,0,1,3,3,2,1,1,3,1,0
G,0,0,0,0,0,0,1,1,1,1,0,1,8,1,0,0,0,1,1,0,1,0,0
J,0,1,1,3,2,2,0,2,2,2,0,0,1,3,0,0,19,1,1,1,1,1,0
Z,0,1,1,2,2,2,0,2,2,2,0,0,1,3,0,19,0,1,1,1,1,1,0
L,0,1,1,1,1,1,0,2,2,1,0,0,1,2,1,1,1,0,1,1,1,1,0
N,2,4,3,5,3,3,2,3,2,2,2,7,4,1,1,1,1,1,0,14,20,10,1
Q,2,2,2,4,3,3,2,1,1,1,10,4,4,1,0,1,1,1,14,0,9,5,2
R,1,4,3,5,4,3,2,3,3,2,3,8,6,3,1,1,1,1,20,9,0,9,1
W,2,2,2,2,2,3,2,2,2,2,1,1,2,1,0,1,1,1,10,5,9,0,0
S,1,2,2,2,1,1,2,3,2,1,1,0,0,0,0,0,0,0,1,2,1,0,0
